RMS	0.287757	0.0196602	5.19994	0	
RMS	0.211208	0.0876373	3.81773	1.3965	
RMS	0.177869	0.0808428	4.29483	1.14027	
RMS	0.232328	0.0723767	3.73094	1.62848	
RMS	0.242874	0.0792752	3.33855	1.75481	
RMS	0.233595	0.0747625	3.04874	1.6587	
RMS	0.221374	0.0779532	2.82518	1.57359	
RMS	0.21315	0.0798946	2.64297	1.49142	
RMS	0.204481	0.0846139	2.49237	1.4195	
RMS	0.196108	0.0858565	2.3649	1.35091	
RMS	0.189506	0.08716	2.25511	1.29095	
RMS	0.182434	0.0836817	2.15951	1.2364	
RMS	0.175302	0.0816243	2.07589	1.1932	
RMS	0.168955	0.0794735	2.00191	1.15306	
RMS	0.163473	0.0784142	1.93569	1.11784	
RMS	0.158494	0.0771096	1.87465	1.08506	
RMS	0.154044	0.0748334	1.81868	1.05273	
RMS	0.150082	0.0727526	1.7677	1.02362	
RMS	0.146079	0.071104	1.72057	0.997622	
RMS	0.142381	0.0698433	1.67717	0.973822	
RMS	0.139285	0.0688891	1.63721	0.952077	
RMS	0.136197	0.0722168	1.59958	0.936466	
RMS	0.133287	0.0715122	1.56443	0.917405	
RMS	0.13052	0.070698	1.53157	0.899409	
RMS	0.127887	0.0708143	1.50072	0.8835	
RMS	0.12542	0.0730346	1.47238	0.8708	
RMS	0.123515	0.072815	1.44604	0.85617	
RMS	0.121303	0.0732837	1.42002	0.842841	
RMS	0.119207	0.0765917	1.39536	0.832858	
RMS	0.117243	0.0807971	1.37206	0.824422	
RMS	0.115512	0.0860211	1.34993	0.817213	
RMS	0.113724	0.087962	1.32901	0.80695	
RMS	0.112074	0.089076	1.30897	0.796549	
RMS	0.110443	0.0904711	1.29006	0.787093	
RMS	0.108856	0.0925611	1.27187	0.778804	
RMS	0.107489	0.0936496	1.25477	0.770042	
RMS	0.106553	0.0927282	1.23859	0.759898	
RMS	0.1056	0.0915969	1.22221	0.750152	
RMS	0.104375	0.0904249	1.20644	0.740724	
RMS	0.103094	0.0892889	1.1917	0.731923	
RMS	0.101846	0.0884846	1.17754	0.724719	
RMS	0.100651	0.0881879	1.16344	0.718806	
RMS	0.0998046	0.0885785	1.14993	0.714445	
RMS	0.0988692	0.0900991	1.1368	0.712081	
RMS	0.0978532	0.0919509	1.1241	0.710029	
RMS	0.0970527	0.093731	1.11227	0.707433	
RMS	0.0963616	0.0977324	1.10094	0.707746	
RMS	0.0960336	0.10347	1.0908	0.709683	
RMS	0.0952623	0.10626	1.08047	0.707497	
RMS	0.0950228	0.108585	1.07182	0.704546	
RMS	0.0944363	0.109253	1.06289	0.699716	
RMS	0.0935251	0.109449	1.05264	0.695022	
RMS	0.092702	0.109316	1.04278	0.690211	
RMS	0.0918833	0.109475	1.03317	0.686264	
